timestamp,event_type,token,raw_log_line
"2026-09-07 17:56:05,884",BUY_REVERTED,BIDEN,"2026-09-07 17:56:05,884 ERROR V4 BUY BIDEN REVERTED"
"2026-09-07 17:56:05,884",SCAN_IDLE,,"2026-09-07 17:56:05,884 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:56:11,364",SKIP,,"2026-09-07 17:56:11,364 INFO SKIP Gun — pump already ripped too hard (5m=+96.5% > +80% cap)"
"2026-09-07 17:56:11,364",SCAN,,"2026-09-07 17:56:11,364 INFO Pumping candidates: 1"
"2026-09-07 17:56:11,364",PICK,BIDEN,"2026-09-07 17:56:11,364 INFO PICK (cached): BIDEN 5m=+15.5% route=v4usdg_99000_990"
"2026-09-07 17:56:11,365",OTHER,,"2026-09-07 17:56:11,365 INFO ⏱ PRE-ENTRY: Studying BIDEN momentum... (3 readings, 6s)"
"2026-09-07 17:56:14,666",MOMENTUM_READING,,"2026-09-07 17:56:14,666 INFO   Reading 2: 5m=-5.1% B/S=1047/1062 (0.99)"
"2026-09-07 17:56:14,666",MOMENTUM_DIED,,"2026-09-07 17:56:14,666 WARNING   Momentum DIED during observation (-5.1%) — ABORT"
"2026-09-07 17:56:14,666",SKIP,,"2026-09-07 17:56:14,666 INFO SKIP BIDEN — momentum not verified"
"2026-09-07 17:56:14,667",SCAN_IDLE,,"2026-09-07 17:56:14,667 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:56:19,728",SKIP,,"2026-09-07 17:56:19,728 INFO SKIP Gun — pump already ripped too hard (5m=+96.5% > +80% cap)"
"2026-09-07 17:56:19,728",SCAN,,"2026-09-07 17:56:19,728 INFO Pumping candidates: 1"
"2026-09-07 17:56:19,728",PICK,BIDEN,"2026-09-07 17:56:19,728 INFO PICK (cached): BIDEN 5m=+15.5% route=v4usdg_99000_990"
"2026-09-07 17:56:19,728",OTHER,,"2026-09-07 17:56:19,728 INFO ⏱ PRE-ENTRY: Studying BIDEN momentum... (3 readings, 6s)"
"2026-09-07 17:56:22,753",MOMENTUM_READING,,"2026-09-07 17:56:22,753 INFO   Reading 2: 5m=-5.1% B/S=1047/1062 (0.99)"
"2026-09-07 17:56:22,753",MOMENTUM_DIED,,"2026-09-07 17:56:22,753 WARNING   Momentum DIED during observation (-5.1%) — ABORT"
"2026-09-07 17:56:22,753",SKIP,,"2026-09-07 17:56:22,753 INFO SKIP BIDEN — momentum not verified"
"2026-09-07 17:56:22,753",SCAN_IDLE,,"2026-09-07 17:56:22,753 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:56:28,242",SCAN,,"2026-09-07 17:56:28,242 INFO Pumping candidates: 1"
"2026-09-07 17:56:28,242",SCAN_TEST,Gun,"2026-09-07 17:56:28,242 INFO Testing Gun 5m=+52.4%..."
"2026-09-07 17:56:38,976",CACHE,,"2026-09-07 17:56:38,976 INFO   V4 pool resolved: ETH/? fee=100 ts=1 hooks=0x53E4151B liq=70678248629639338727451"
"2026-09-07 17:56:39,729",OTHER,,"2026-09-07 17:56:39,729 INFO   0xF8641005: V4 ETH VERIFIED (output=2368445156062995736592 for 0.0001 ETH) route=v4eth_100_1"
"2026-09-07 17:56:39,730",CACHE,,"2026-09-07 17:56:39,730 INFO V4 cache saved: 6 pools, 5 routes"
"2026-09-07 17:56:39,730",PICK,Gun,"2026-09-07 17:56:39,730 INFO PICK (new/v4): Gun route=v4eth_100_1"
